Player_Id,Player_Name,DOB,Batting_Hand,Country
474,BF Bowden,NULL,NULL,New Zealand
475,IL Howell,NULL,NULL,South Africa
476,DJ Harper,NULL,NULL,Australia
477,RE Koertzen,NULL,NULL,South Africa
478,BR Doctrove,NULL,NULL,West Indies
479,AV Jayaprakash,NULL,NULL,India
480,BG Jerling,NULL,NULL,South Africa
481,M Erasmus,NULL,NULL,South Africa
482,HDPK Dharmasena,NULL,NULL,Sri Lanka
483,S Asnani,NULL,NULL,India
484,GAV Baxter,NULL,NULL,New Zealand
485,SS Hazare,NULL,NULL,India
486,K Hariharan,NULL,NULL,India
487,SL Shastri,NULL,NULL,India
488,SK Tarapore,NULL,NULL,India
489,S Ravi,NULL,NULL,India
490,SJA Taufel,NULL,NULL,Australia
491,S Das,NULL,NULL,India
492,AM Saheba,NULL,NULL,India
493,PR Reiffel,NULL,NULL,Australia
494,JD Cloete,NULL,NULL,South Africa
495,AK Chaudhary,NULL,NULL,India
496,VA Kulkarni,NULL,NULL,India
497,BNJ Oxenford,NULL,NULL,Australia
498,CK Nandan,NULL,NULL,India
499,C Shamshuddin,NULL,NULL,India
500,NJ Llong,NULL,NULL,England
501,RK Illingworth,NULL,NULL,England
502,RM Deshpande,NULL,NULL,India
503,K Srinath,NULL,NULL,India
504,SD Fry,NULL,NULL,Australia
505,CB Gaffaney,NULL,NULL,New Zealand
506,PG Pathak,NULL,NULL,India
507,Nitin Menon,NULL,NULL,India
508,K Bharatan,NULL,NULL,India
509,AY Dandekar,NULL,NULL,India
510,KN Ananthapadmanabhan,NULL,NULL,India
511,A Nand Kishore,NULL,NULL,India
